City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Pangai,TO,77.07,clear sky,-19.8,-174.35,Ha'apai Beach Resort
224,Bogale,MM,75.51,broken clouds,16.2833,95.4,Ngwe Taung
226,Lorengau,PG,80.67,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
233,Bossangoa,CF,74.39,overcast clouds,6.4926,17.4552,Hotel du tourisme
234,Meulaboh,ID,75.0,moderate rain,4.1363,96.1285,Kost Pria
235,Nanning,CN,71.58,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
239,Cartagena,CO,78.42,light rain,10.3997,-75.5144,Hotel Colombia Real - Cartagena
243,Bandundu,CD,76.98,light rain,-3.3167,17.3667,Coja Color
245,Ariquemes,BR,82.98,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
247,Caravelas,BR,80.51,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
249,Central Point,US,75.63,clear sky,42.376,-122.9164,Courtyard by Marriott Medford Airport
251,Umm Lajj,SA,83.25,clear sky,25.0213,37.2685,Moon light Furnished Units
254,Hamilton,US,70.88,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
262,Alofi,NU,76.95,few clouds,-19.0595,-169.9187,Taloa Heights
269,Marsh Harbour,BS,81.16,clear sky,26.5412,-77.0636,Abaco Beach Resort
271,Charters Towers,AU,71.64,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
272,Atambua,ID,76.03,overcast clouds,-9.1061,124.8925,Ros Muskanan
277,Kruisfontein,ZA,72.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
